	icao	latitude	longitude	pm10
400	EGLL	51.4775	-0.4613888888888889	1.92
401	EGMC	51.57138888888889	0.6955555555555556	2.17
402	EGMD	50.95611111111111	0.9391666666666667	2.88
403	EGMH	51.342222222222226	1.346111111111111	2.37
404	EGNC	54.9375	-2.8091666666666666	2.04
405	EGNH	53.77166666666667	-3.028611111111111	2.75
406	EGNJ	53.574444444444445	-0.35083333333333333	1.07
407	EGNL	54.12972222222222	-3.256111111111111	2.15
408	EGNM	53.865833333333335	-1.6605555555555556	1.26
409	EGNR	53.17805555555555	-2.977777777777778	3.51
410	EGNS	54.083333333333336	-4.62388888888889	2.97
411	EGNT	55.0375	-1.6916666666666667	1.37
412	EGNV	54.509166666666665	-1.4291666666666667	1.32
413	EGNX	52.83111111111111	-1.3280555555555555	1.48
414	EGPA	58.95805555555556	-2.905	0.67
415	EGPB	59.87888888888889	-1.2955555555555553	1.67
416	EGPC	58.45861111111111	-3.092777777777778	0.54
417	EGPD	57.20416666666667	-2.200277777777778	0.56
418	EGPE	57.54	-4.05	1.12
419	EGPF	55.871944444444445	-4.433055555555556	2.41
420	EGPH	55.95	-3.3725	2.32
421	EGPI	55.68194444444444	-6.256666666666667	4.06
422	EGPK	55.507777777777775	-4.586666666666666	2.17
423	EGPL	57.48111111111111	-7.362777777777778	7.02
424	EGPM	60.43222222222222	-1.2980555555555555	1.25
425	EGPN	56.4525	-3.0258333333333334	0.89
426	EGPO	58.21361111111111	-6.328888888888889	4.9
427	EGPU	56.49916666666667	-6.8691666666666675	7.23
428	EGQL	56.37277777777778	-2.868333333333333	1.29
429	EGQS	57.705000000000005	-3.339166666666667	0.53
430	EGSC	52.205000000000005	0.175	1.2
431	EGSH	52.67583333333333	1.2827777777777778	0.87
432	EGSS	51.885	0.23500000000000001	1.4
433	EGTE	50.73444444444444	-3.4138888888888888	3.43
434	EGTG	51.519444444444446	-2.5908333333333333	3.2
435	EGTH	51.766666666666666	0.25	1.56
436	EGTK	51.83694444444445	-1.32	1.75
437	EGUN	52.36083333333333	0.48833333333333334	1.19
438	EGVA	51.68194444444444	-1.7899999999999998	2.13
439	EGVN	51.749722222222225	-1.5836111111111113	1.9
440	EGVO	51.23416666666667	-0.9427777777777778	2.39
441	EGWU	51.55277777777778	-0.41805555555555557	1.92
442	EGXC	53.09277777777778	-0.16583333333333333	0.86
443	EGXH	52.3425	0.7727777777777778	1.16
444	EGXW	53.16611111111111	-0.5236111111111111	0.97
445	EGYC	52.75472222222222	1.3572222222222223	0.87
446	EGYM	52.64833333333333	0.5502777777777779	0.99
447	EGYP	-51.82277777777778	-58.447222222222216	3.26
448	EHAM	52.308611111111105	4.763888888888889	2.33
449	EHBK	50.91138888888889	5.77	2.01
450	EHEH	51.45	5.374444444444444	0.92
451	EHGG	53.11944444444445	6.579444444444444	1.93
452	EHKD	52.92333333333333	4.780555555555556	1.84
453	EHLW	53.228611111111114	5.760555555555555	2.45
454	EHRD	51.95722222222223	4.441666666666667	1.49
455	EHSB	52.12694444444445	5.276388888888889	1.43
456	EHTW	52.269999999999996	6.874166666666667	1.31
457	EHVB	52.16972222222222	4.426111111111111	1.95
458	EHWO	51.44888888888889	4.341944444444444	1.25
459	EICK	51.84277777777778	-8.491944444444444	11.21
460	EICM	53.30138888888889	-8.939166666666667	5.72
461	EIDW	53.42111111111111	-6.27	5.61
462	EIKN	53.91027777777778	-8.818333333333333	5.62
463	EIKY	52.18083333333333	-9.523611111111112	20.36
464	EINN	52.70194444444445	-8.924722222222222	9.08
465	EISG	54.28	-8.599166666666667	5.54
466	EIWF	52.18694444444444	-7.086944444444444	11.38
467	EKAH	56.30416666666667	10.619444444444445	1.38
468	EKBI	55.74027777777778	9.151666666666667	2.13
469	EKCH	55.617777777777775	12.655833333333334	0.92
470	EKEB	55.52583333333333	8.553333333333335	2.5
471	EKKA	56.29722222222222	9.124444444444444	1.98
472	EKOD	55.476111111111116	10.329166666666666	2.03
473	EKRK	55.58555555555556	12.131388888888889	0.95
474	EKRN	55.06305555555555	14.759444444444444	0.65
475	EKSB	54.96416666666667	9.791666666666666	1.81
476	EKSP	55.22527777777778	9.26388888888889	2.09
477	EKTS	57.06861111111112	8.705	2.32
478	EKVG	62.06361111111111	-7.276944444444444	1.45
479	EKVJ	55.99	8.35388888888889	2.38
480	EKYT	57.09277777777778	9.84888888888889	1.39
481	ELLX	49.62638888888889	6.211388888888889	1.66
482	ENAL	62.56027777777778	6.109999999999999	0.55
483	ENAN	69.2925	16.144166666666667	0.83
484	ENAT	69.97694444444444	23.366111111111113	0.56
485	ENBN	65.45916666666668	12.21361111111111	0.55
486	ENBO	67.26888888888888	14.363333333333333	0.51
487	ENBR	60.29333333333333	5.218055555555556	1.29
488	ENBS	70.6	29.6925	0.54
489	ENCN	58.20416666666667	8.085277777777778	0.57
490	ENDU	69.05555555555556	18.540277777777778	0.61
491	ENEV	68.49111111111111	16.678055555555556	0.62
492	ENFB	59.89555555555555	10.616944444444444	3.46
493	ENFG	61.01111111111111	9.293055555555556	0.56
494	ENFL	61.58388888888889	5.025	0.79
495	ENGM	60.193888888888885	11.100277777777777	1.25
496	ENHA	60.818333333333335	11.067222222222222	0.71
497	ENHD	59.345	5.208333333333334	0.94
498	ENHK	70.48666666666666	22.139722222222222	0.6
499	ENKB	63.111666666666665	7.8244444444444445	0.66
500	ENKR	69.72500000000001	29.8875	0.53
501	ENLI	58.10027777777778	6.625000000000001	0.74
502	ENML	62.74611111111111	7.2725	0.69
503	ENMS	65.78388888888888	13.214722222222221	0.57
504	ENNA	70.06861111111111	24.973333333333333	0.51
505	ENOL	63.69888888888889	9.60388888888889	1.3
506	ENRO	62.57833333333333	11.342222222222222	0.64
507	ENSB	78.2461111111111	15.465555555555556	0.51
508	ENSG	61.15611111111111	7.136388888888889	0.68
509	ENSN	59.184999999999995	9.566944444444443	0.7
510	ENSO	59.791666666666664	5.340833333333333	1.01
511	ENSR	69.78694444444444	20.959444444444443	0.55
512	ENST	65.95666666666666	12.46888888888889	0.53
513	ENTC	69.68333333333334	18.91888888888889	0.57
